po_number,planning_date,po_line_low_sts,days_past_due
1724977,2024-11-13,50,38
1724956,2024-11-13,50,38
1724956,2024-11-13,50,38
1725534,2024-11-13,50,38
1724956,2024-11-13,50,38
1724956,2024-11-13,50,38
1724955,2024-11-13,50,38
1724955,2024-11-13,50,38
1724977,2024-11-13,50,38
1725514,2024-11-13,50,38
1724977,2024-11-13,50,38
1724982,2024-11-13,50,38
1724952,2024-11-13,50,38
1724952,2024-11-13,50,38
1724807,2024-11-13,50,38
1725765,2024-11-13,50,38
1724982,2024-11-13,50,38
1724808,2024-11-13,50,38
1724953,2024-11-13,50,38
1724844,2024-11-13,50,38
1724953,2024-11-13,50,38
1724982,2024-11-13,50,38
1724982,2024-11-13,50,38
1724953,2024-11-13,50,38
1724953,2024-11-13,50,38
1724953,2024-11-13,50,38
1724953,2024-11-13,50,38
1724952,2024-11-13,50,38
1724982,2024-11-13,50,38
1724955,2024-11-13,50,38
1724952,2024-11-13,50,38
1725489,2024-11-13,50,38
1723941,2024-11-13,50,38
1725489,2024-11-13,50,38
1725490,2024-11-13,50,38
1725490,2024-11-13,50,38
1725491,2024-11-13,50,38
1725492,2024-11-13,50,38
1725492,2024-11-13,50,38
1724804,2024-11-13,50,38
1725493,2024-11-13,50,38
1724806,2024-11-13,50,38
1724947,2024-11-13,50,38
1725512,2024-11-13,50,38
1724952,2024-11-13,50,38
1724952,2024-11-13,50,38
1724981,2024-11-13,50,38
1724842,2024-11-13,50,38
1724837,2024-11-13,50,38
1725514,2024-11-13,50,38
1725534,2024-11-13,50,38
1724981,2024-11-13,50,38
1725525,2024-11-13,50,38
1725526,2024-11-13,50,38
1724839,2024-11-13,50,38
1725527,2024-11-13,50,38
1724980,2024-11-13,50,38
1724979,2024-11-13,50,38
1725527,2024-11-13,50,38
1724822,2024-11-13,50,38
1724979,2024-11-13,50,38
1724979,2024-11-13,50,38
1724977,2024-11-13,50,38
1724977,2024-11-13,50,38
1724977,2024-11-13,50,38
1724817,2024-11-13,50,38
1724958,2024-11-13,50,38
1724955,2024-11-13,50,38
1725514,2024-11-13,50,38
1724955,2024-11-13,50,38
1725535,2024-11-13,50,38
1724955,2024-11-13,50,38
1724955,2024-11-13,50,38
1724956,2024-11-13,50,38
1724956,2024-11-13,50,38
1724956,2024-11-13,50,38
1724956,2024-11-13,50,38
1724956,2024-11-13,50,38
1724842,2024-11-13,50,38
1725350,2024-11-13,50,38
